order_id,customer_id,product_id,order_date,product_category_order,quantity,unit_price,status,order_amount,order_year,order_month,customer_name,email,state,signup_date,product_category_product,product_name,supplier,unit_cost
1001,101,P101,2026-01-05,Electronics,2,250.0,Completed,500.0,2026,1,,,,,Electronics,Laptop,TechSource,550.0
1002,102,P103,2026-01-06,Furniture,1,450.0,Completed,450.0,2026,1,,,,,Furniture,Office Chair,OfficeSupply,220.0
1003,103,P108,2026-01-07,Electronics,1,800.0,Pending,800.0,2026,1,,,,,Electronics,Tablet,TechSource,300.0
1004,101,P105,2026-01-08,Accessories,3,40.0,Completed,120.0,2026,1,,,,,Accessories,Keyboard,AccessoryHub,35.0
1005,104,P104,2026-01-09,Furniture,2,300.0,Completed,600.0,2026,1,,,,,Furniture,Desk,OfficeSupply,350.0
1006,105,P101,2026-01-10,Electronics,1,650.0,Cancelled,650.0,2026,1,,,,,Electronics,Laptop,TechSource,550.0
1007,102,P106,2026-01-11,Accessories,5,25.0,Completed,125.0,2026,1,,,,,Accessories,Mouse,AccessoryHub,20.0
1008,106,P103,2026-01-12,Furniture,1,500.0,Pending,500.0,2026,1,,,,,Furniture,Office Chair,OfficeSupply,220.0
1009,103,P102,2026-01-13,Electronics,2,350.0,Completed,700.0,2026,1,,,,,Electronics,Monitor,TechSource,180.0
1010,101,P107,2026-01-14,Accessories,4,30.0,Completed,120.0,2026,1,,,,,Accessories,Headset,AccessoryHub,45.0
