order_id,customer_id,product_id,order_date,product_category,quantity,unit_price,status
1001,101,P101,2026-01-05,Electronics,2,250.00,Completed
1002,102,P103,2026-01-06,Furniture,1,450.00,Completed
1003,103,P108,2026-01-07,Electronics,1,800.00,Pending
1004,101,P105,2026-01-08,Accessories,3,40.00,Completed
1005,104,P104,2026-01-09,Furniture,2,300.00,Completed
1006,105,P101,2026-01-10,Electronics,1,650.00,Cancelled
1007,102,P106,2026-01-11,Accessories,5,25.00,Completed
1008,106,P103,2026-01-12,Furniture,1,500.00,Pending
1009,103,P102,2026-01-13,Electronics,2,350.00,Completed
1010,101,P107,2026-01-14,Accessories,4,30.00,Completed
